Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,1.460110,1.559284,1.437298,1.486503,1.486503,0
2008-02-01,1.486591,1.557099,1.445191,1.519203,1.519203,0
2008-03-01,1.518395,1.590306,0.072902,1.575796,1.575796,0
2008-04-01,1.561695,1.601307,1.551711,1.562207,1.562207,0
2008-05-01,1.547796,1.581803,1.537090,1.555791,1.555791,0
2008-06-01,1.556396,1.584209,1.531511,1.575002,1.575002,0
2008-07-01,1.579205,1.602821,1.531394,1.559308,1.559308,0
2008-08-01,1.533413,1.533601,1.457790,1.469508,1.469508,0
2008-09-01,1.469270,1.505004,1.389700,1.409642,1.409642,0
2008-10-01,1.410298,1.505004,1.234294,1.270196,1.270196,0
2008-11-01,1.270196,1.508205,1.240095,1.267507,1.267507,0
2008-12-01,1.267507,1.496401,1.256297,1.397995,1.397995,0
2009-01-01,1.397995,1.405402,1.277596,1.285099,1.285099,0
2009-02-01,1.285099,1.308404,1.252176,1.267893,1.267893,0
2009-03-01,1.267893,1.373193,1.246898,1.324696,1.324696,0
2009-04-01,1.324503,1.357792,1.254595,1.323522,1.323522,0
2009-05-01,1.323294,1.416993,1.321493,1.412090,1.412090,0
2009-06-01,1.411891,1.433692,1.375194,1.403883,1.403883,0
2009-07-01,1.403903,1.426005,1.383509,1.426005,1.426005,0
2009-08-01,1.426005,1.442231,1.408193,1.434268,1.434268,0
2009-09-01,1.422030,1.483746,1.420313,1.465502,1.465502,0
2009-10-01,1.454334,1.505911,1.451379,1.473297,1.473297,0
2009-11-01,1.473297,1.514532,1.462908,1.503895,1.503895,0
2009-12-01,1.503443,1.513775,1.422192,1.432706,1.432706,0
2010-01-01,1.432706,1.457705,1.385406,1.387694,1.387694,0
2010-02-01,1.387598,1.402406,1.345026,1.363791,1.363791,0
2010-03-01,1.364294,1.381654,1.326999,1.350804,1.350804,0
2010-04-01,1.350840,1.368794,1.311906,1.329805,1.329805,0
2010-05-01,1.329805,1.335898,1.214595,1.228788,1.228788,0
2010-06-01,1.228803,1.246805,1.188199,1.223002,1.223002,0
2010-07-01,1.223197,1.310702,1.219899,1.304002,1.304002,0
2010-08-01,1.304002,1.332996,1.259192,1.266592,1.266592,0
2010-09-01,1.268601,1.367708,1.264702,1.362806,1.362806,0
2010-10-01,1.362305,1.414807,1.362082,1.377809,1.377809,0
2010-11-01,1.393767,1.428204,1.297252,1.310393,1.310393,0
2010-12-01,1.299495,1.349418,1.297707,1.330123,1.330123,0
2011-01-01,1.335595,1.375629,1.287714,1.357276,1.357276,0
2011-02-01,1.371498,1.386001,1.343165,1.373438,1.373438,0
2011-03-01,1.382743,1.424806,1.374457,1.412130,1.412130,0
2011-04-01,1.416009,1.488206,1.406470,1.482096,1.482096,0
2011-05-01,1.482096,1.493808,1.397604,1.432234,1.432234,0
2011-06-01,1.442752,1.469184,1.407796,1.447890,1.447890,0
2011-07-01,1.449591,1.457705,1.384198,1.433199,1.433199,0
2011-08-01,1.436534,1.454694,1.405797,1.443314,1.443314,0
2011-09-01,1.437505,1.437794,1.336702,1.358585,1.358585,0
2011-10-01,1.336095,1.420091,1.314942,1.414007,1.414007,0
2011-11-01,1.386463,1.386982,1.321842,1.332410,1.332410,0
2011-12-01,1.344231,1.353803,1.286124,1.295605,1.295605,0
2012-01-01,1.296092,1.323399,0.760572,1.313957,1.313957,0
2012-02-01,1.313888,1.348618,1.297993,1.347800,1.347800,0
2012-03-01,1.332623,1.338341,1.300492,1.334508,1.334508,0
2012-04-01,1.334508,1.337900,1.299690,1.324152,1.324152,0
2012-05-01,1.323995,1.328092,1.234230,1.237471,1.237471,0
2012-06-01,1.236094,1.274795,1.229701,1.266496,1.266496,0
2012-07-01,1.266496,1.268102,1.205545,1.225941,1.225941,0
2012-08-01,1.229407,1.262901,1.213800,1.251095,1.251095,0
2012-09-01,1.258194,1.316810,1.250469,1.291322,1.291322,0
2012-10-01,1.280672,1.313781,1.280672,1.296260,1.296260,0
2012-11-01,1.296512,1.302860,1.266657,1.297353,1.297353,0
2012-12-01,1.298701,1.330690,1.288240,1.322769,1.322769,0
2013-01-01,1.320132,1.359000,1.300052,1.356834,1.356834,0
2013-02-01,1.361100,1.369300,1.302000,1.315097,1.315097,0
2013-03-01,1.306165,1.313431,1.275631,1.280787,1.280787,0
2013-04-01,1.280557,1.319710,1.274980,1.309586,1.309586,0
2013-05-01,1.316898,1.324152,1.280000,1.304393,1.304393,0
2013-06-01,1.299900,1.341340,1.295706,1.303594,1.303594,0
2013-07-01,1.301389,1.330021,1.276300,1.326489,1.326489,0
2013-08-01,1.330106,1.345021,1.317921,1.322401,1.322401,0
2013-09-01,1.322401,1.356999,1.310619,1.349546,1.349546,0
2013-10-01,1.352503,1.383000,1.347560,1.372401,1.372401,0
2013-11-01,1.357976,1.362212,1.330580,1.359398,1.359398,0
2013-12-01,1.359398,1.388351,1.352558,1.381006,1.381006,0
2014-01-01,1.374495,1.377904,1.348109,1.355877,1.355877,0
2014-02-01,1.348981,1.382340,1.347931,1.370746,1.370746,0
2014-03-01,1.380396,1.396541,1.370851,1.375213,1.375213,0
2014-04-01,1.377505,1.390608,1.367630,1.381368,1.381368,0
2014-05-01,1.386866,1.399110,1.358880,1.363457,1.363457,0
2014-06-01,1.363457,1.369700,1.350680,1.364443,1.364443,0
2014-07-01,1.369188,1.369807,1.336881,1.339603,1.339603,0
2014-08-01,1.338993,1.344599,1.312836,1.313456,1.313456,0
2014-09-01,1.312767,1.316099,1.257390,1.269084,1.269084,0
2014-10-01,1.262913,1.284439,1.249126,1.261336,1.261336,0
2014-11-01,1.252725,1.257593,1.236201,1.246199,1.246199,0
2014-12-01,1.243797,1.256570,1.210539,1.216205,1.216205,0
2015-01-01,1.209863,1.209863,1.110556,1.128796,1.128796,0
2015-02-01,1.128796,1.148419,1.117681,1.120536,1.120536,0
2015-03-01,1.119796,1.124040,1.046003,1.083025,1.083025,0
2015-04-01,1.074102,1.124759,1.052160,1.111432,1.111432,0
2015-05-01,1.121504,1.145305,1.082200,1.096035,1.096035,0
2015-06-01,1.095902,1.142840,1.088890,1.122297,1.122297,0
2015-07-01,1.113499,1.122000,1.081270,1.093924,1.093924,0
2015-08-01,1.096900,1.170600,1.085031,1.134005,1.134005,0
2015-09-01,1.122599,1.146000,1.108970,1.125594,1.125594,0
